name,year,selling_price,km_driven,fuel,Company
Hyundai Elantra SX,2013,690000,68000,Petrol,Hyundai
Tata Nano STD,2012,64000,18000,Petrol,Tata
Maruti Swift Dzire,2016,550000,60000,Diesel,Maruti
Hyundai i10 Magna,2010,140000,70000,Petrol,Hyundai
Renault KWID RXT,2016,300000,30000,Petrol,Renault
Volkswagen GTI 1.8,2016,800000,70000,Petrol,Volkswagen
Tata Safari Storme,2015,503000,110000,Diesel,Tata
Toyota Camry 2.5,2016,2000000,68089,Petrol,Toyota
Maruti Wagon R,2013,225000,58343,Petrol,Maruti
Maruti Baleno Alpha,2018,740000,38817,Diesel,Maruti
Honda Jazz VX,2016,550000,56494,Petrol,Honda
Toyota Innova 2.5,2013,750000,79328,Diesel,Toyota
Maruti Swift AMT,2019,650000,5621,Petrol,Maruti
Toyota Etios VX,2017,625000,25538,Petrol,Toyota
Maruti Swift AMT,2018,600000,69779,Petrol,Maruti
Hyundai Grand i10,2017,450000,56290,Diesel,Hyundai
Honda Amaze V,2019,779000,7032,Petrol,Honda
Hyundai i10 Magna,2010,150000,106000,Petrol,Hyundai
Honda CR-V 2.4L,2009,500000,120000,Petrol,Honda
Maruti Swift Dzire,2015,480000,90000,Diesel,Maruti
Hyundai Verna 1.6,2014,535000,70000,Diesel,Hyundai
Maruti SX4 Celebration,2012,300000,100000,Diesel,Maruti
Hyundai Verna XXi,2009,340000,214000,Petrol,Hyundai
Hyundai Verna CRDi,2009,340000,214000,Diesel,Hyundai
Maruti Alto 800,2016,240000,50000,Petrol,Maruti
Honda City i-VTEC,2018,1085000,1000,Petrol,Honda
Maruti Swift Dzire,2017,750000,19000,Diesel,Maruti
Tata Indigo LS,2012,95000,265000,Diesel,Tata
Maruti Alto K10,2014,215000,80000,Petrol,Maruti
Mahindra XUV500 AT,2016,1290000,50000,Diesel,Mahindra
Maruti Alto K10,2010,150000,80000,Petrol,Maruti
Hyundai EON Sportz,2013,219000,50000,Petrol,Hyundai
Tata Tiago 1.2,2018,325000,100000,Petrol,Tata
Maruti Eeco Smiles,2013,260000,120000,Petrol,Maruti
Honda Amaze S,2019,700000,40000,Diesel,Honda
Hyundai Creta 1.4,2017,950000,45000,Diesel,Hyundai
Maruti Alto LXi,2010,160000,80000,Petrol,Maruti
Hyundai Xcent 1.1,2015,409999,135000,Diesel,Hyundai
Toyota Innova 2.5,2015,840000,120000,Diesel,Toyota
Toyota Etios Liva,2013,450000,67000,Diesel,Toyota
Maruti Swift Dzire,2017,900000,50000,Diesel,Maruti
Toyota Innova 2.5,2008,570000,134000,Diesel,Toyota
Maruti 800 AC,2009,130000,40000,Petrol,Maruti
Maruti Swift Dzire,2013,530000,120000,Diesel,Maruti
Volkswagen Polo 1.5,2015,520000,110000,Diesel,Volkswagen
Mahindra Verito 1.5,2011,229999,170000,Diesel,Mahindra
Maruti Swift VDI,2016,600000,47000,Diesel,Maruti
Hyundai Xcent 1.2,2015,409999,93000,Petrol,Hyundai
Maruti 800 Std,2010,120000,70000,Petrol,Maruti
Maruti Celerio VXI,2014,320000,50000,Petrol,Maruti
Ford Figo Diesel,2015,292000,70000,Diesel,Ford
Tata Safari DICOR,2012,390000,80000,Diesel,Tata
Ford Figo 1.2P,2016,550000,44000,Petrol,Ford
Maruti Celerio ZXI,2014,385000,25000,Petrol,Maruti
Hyundai Creta 1.6,2016,800000,25000,Petrol,Hyundai
Maruti Swift Dzire,2019,675000,10000,Petrol,Maruti
Tata Hexa XT,2018,1525000,50000,Diesel,Tata
Ford EcoSport 1.5,2018,950000,30000,Diesel,Ford
Hyundai i20 Active,2015,610000,50000,Diesel,Hyundai
Hyundai i20 Asta,2012,525000,120000,Diesel,Hyundai
Mahindra Bolero 2011-2019,2015,375000,80000,Diesel,Mahindra
Maruti Swift VXI,2015,434999,50000,Petrol,Maruti
Toyota Innova 2.5,2012,730000,250000,Diesel,Toyota
Hyundai i20 Magna,2015,600000,35000,Petrol,Hyundai
Toyota Innova 2.5,2015,1050000,120000,Diesel,Toyota
Maruti Baleno Alpha,2017,735000,70000,Diesel,Maruti
Renault Duster 110PS,2018,1050000,18000,Diesel,Renault
Chevrolet Enjoy 1.3,2016,420000,110000,Diesel,Chevrolet
Maruti SX4 S,2017,800000,60000,Diesel,Maruti
Toyota Fortuner 4x2,2015,2000000,60000,Diesel,Toyota
Maruti Swift Dzire,2016,600000,147000,Diesel,Maruti
Toyota Fortuner 4x2,2015,1900000,130000,Diesel,Toyota
Chevrolet Captiva LT,2011,500000,99500,Diesel,Chevrolet
Tata Indica Vista,2011,200000,110000,Diesel,Tata
Hyundai Verna Transform,2010,260000,110000,Diesel,Hyundai
Mahindra KUV 100,2016,280000,100000,Diesel,Mahindra
Maruti Ertiga VXI,2014,610000,21000,Petrol,Maruti
Ford Fiesta Titanium,2013,300000,60000,Diesel,Ford
Tata Indigo CS,2010,140000,40000,Diesel,Tata
Hyundai i10 Magna,2008,229999,50000,Petrol,Hyundai
Maruti A-Star Vxi,2010,200000,65000,Petrol,Maruti
Maruti Wagon R,2011,200000,80000,Petrol,Maruti
Hyundai Verna 1.6,2015,560000,119000,Diesel,Hyundai
Maruti Ertiga SHVS,2016,750000,80000,Diesel,Maruti
Maruti Swift VDI,2017,585000,90000,Diesel,Maruti
Hyundai Verna 1.6,2016,760000,20000,Petrol,Hyundai
Maruti Swift VDI,2014,430000,80000,Diesel,Maruti
Mahindra KUV 100,2020,480000,44665,Diesel,Mahindra
Hyundai Xcent 1.2,2018,500000,60000,Petrol,Hyundai
Honda Brio 1.2,2016,425000,22000,Petrol,Honda
Maruti Alto 800,2014,250000,25000,Petrol,Maruti
Maruti Celerio LDi,2016,285000,70000,Diesel,Maruti
Maruti Swift Dzire,2008,160000,123000,Petrol,Maruti
Volkswagen Vento Diesel,2011,250000,70000,Diesel,Volkswagen
Chevrolet Beat LS,2013,170000,70000,Petrol,Chevrolet
Toyota Etios Liva,2013,409999,45000,Diesel,Toyota
Hyundai Grand i10,2015,400000,40000,Petrol,Hyundai
Maruti Swift Dzire,2019,700000,30000,Diesel,Maruti
Honda Civic 1.8,2007,350000,90000,Petrol,Honda
Maruti Ertiga BSIV,2016,660000,34000,Petrol,Maruti
Maruti Alto 800,2017,268000,25000,Petrol,Maruti
Maruti Alto 800,2016,270000,50000,Petrol,Maruti
Chevrolet Beat Diesel,2013,300000,50000,Diesel,Chevrolet
Tata Tiago 1.2,2017,450000,90000,Petrol,Tata
Chevrolet Beat Diesel,2012,220000,70000,Diesel,Chevrolet
Tata New Safari,2009,250000,146000,Diesel,Tata
Ford Figo Petrol,2012,300000,85000,Petrol,Ford
Tata Indica V2,2009,88000,201850,Diesel,Tata
Maruti Swift Dzire,2016,561000,30000,Diesel,Maruti
Maruti Swift Dzire,2018,755000,15000,Diesel,Maruti
Maruti Alto K10,2011,165000,90000,Petrol,Maruti
Maruti Swift Dzire,2008,190000,80000,Diesel,Maruti
Tata Indica V2,2011,110000,50000,Diesel,Tata
Mahindra Bolero 2011-2019,2012,320000,80000,Diesel,Mahindra
Hyundai i20 Asta,2016,540000,38000,Petrol,Hyundai
Hyundai EON Era,2013,180000,60000,Petrol,Hyundai
Maruti Swift Dzire,2012,450000,30000,Petrol,Maruti
Maruti Swift Dzire,2014,450000,30000,Petrol,Maruti
Chevrolet Beat LT,2015,200000,50000,Petrol,Chevrolet
Tata Tiago 1.2,2017,425000,42000,Petrol,Tata
Chevrolet Sail 1.2,2016,400000,30000,Petrol,Chevrolet
Maruti Alto LXi,2009,125000,60000,Petrol,Maruti
Honda City i,2015,900000,22000,Petrol,Honda
Volkswagen Vento Diesel,2012,450000,90000,Diesel,Volkswagen
Maruti Alto K10,2011,210000,46000,Petrol,Maruti
Hyundai i20 1.2,2018,801000,20000,Petrol,Hyundai
Tata Venture EX,2014,317000,15000,Diesel,Tata
Maruti Ertiga VXI,2015,600000,40000,Petrol,Maruti
Hyundai i20 Magna,2014,330000,30000,Petrol,Hyundai
Hyundai EON Magna,2017,320000,15000,Petrol,Hyundai
Hyundai Getz GLX,2007,120000,110000,Petrol,Hyundai
Maruti Alto LXi,2009,130000,70000,Petrol,Maruti
Chevrolet Sail 1.2,2015,220000,80000,Petrol,Chevrolet
Tata Zest Revotron,2015,340000,110000,Petrol,Tata
Ford Classic 1.4,2013,200000,70000,Diesel,Ford
Toyota Innova 2.5,2013,1000000,190000,Diesel,Toyota
Mahindra Bolero SLX,2010,495000,100000,Diesel,Mahindra
Maruti Alto 800,2015,236000,60000,Petrol,Maruti
Maruti Wagon R,2015,390000,40000,Petrol,Maruti
Maruti Swift Dzire,2009,275000,90000,Diesel,Maruti
Maruti Vitara Brezza,2017,775000,32000,Diesel,Maruti
Toyota Innova Crysta,2016,1800000,30000,Diesel,Toyota
Hyundai Creta 1.6,2016,850000,58000,Diesel,Hyundai
Maruti Vitara Brezza,2018,750000,5000,Diesel,Maruti
Hyundai i20 1.2,2018,570000,25000,Petrol,Hyundai
Hyundai Grand i10,2018,580000,32000,Petrol,Hyundai
Honda Jazz 1.2,2016,484999,30000,Petrol,Honda
Honda BR-V i-VTEC,2017,700000,43000,Petrol,Honda
Hyundai Verna S,2012,415000,60000,Petrol,Hyundai
Ford Figo Aspire,2018,550000,14200,Petrol,Ford
Hyundai EON Sportz,2017,300000,10000,Petrol,Hyundai
Ford Freestyle Titanium,2018,700000,19100,Petrol,Ford
Hyundai Santro Sportz,2019,466000,25000,Petrol,Hyundai
Ford EcoSport 1.5,2014,484999,54000,Diesel,Ford
Hyundai Grand i10,2018,500000,20000,Petrol,Hyundai
Maruti SX4 S,2016,675000,52000,Diesel,Maruti
Hyundai i20 1.4,2011,220000,120000,Diesel,Hyundai
Maruti Ertiga ZDI,2013,630000,120000,Diesel,Maruti
Tata Manza Aura,2010,250000,90000,Diesel,Tata
Hyundai Verna 1.6,2013,525000,75000,Diesel,Hyundai
Mahindra Scorpio 1.99,2016,1100000,100000,Diesel,Mahindra
Renault Duster 110PS,2012,480000,55735,Diesel,Renault
Mahindra XUV500 W4,2014,605000,80000,Diesel,Mahindra
Maruti Alto 800,2016,250000,50000,Petrol,Maruti
Ford Figo Diesel,2013,245000,70000,Diesel,Ford
Hyundai i10 Magna,2012,210000,76000,Petrol,Hyundai
